Date,Open,High,Low,Close,Adj Close,Volume,Dnevna rast,Povprečje,Rast v %
2018-07-17,13.3579,13.8934,12.8698,13.7128,13.7128,74443200,0.3549,13.5354,2.6569
2018-07-18,13.7399,13.8572,12.7239,12.8648,12.8648,75446304,-0.8751,13.3024,-6.369
2018-07-19,12.8251,13.3511,12.7696,12.918,12.918,49364800,0.0929,12.8715,0.7244
2018-07-20,12.9185,12.971,11.8856,12.0709,12.0709,40466000,-0.8476,12.4947,-6.5611
2018-07-21,12.0747,12.4556,11.9021,12.1853,12.1853,28726700,0.1106,12.13,0.916
2018-07-22,12.1888,12.274,11.9627,12.1199,12.1199,20692400,-0.0689,12.1544,-0.5653
2018-07-23,12.1368,12.3381,11.9129,12.0199,12.0199,28137700,-0.1169,12.0784,-0.9632
2018-07-24,12.0222,12.2462,11.6484,12.1451,12.1451,46762700,0.1229,12.0836,1.0223
2018-07-25,12.087,13.4667,12.0793,12.9394,12.9394,72083200,0.8524,12.5132,7.0522
2018-07-26,12.9215,13.5521,12.9115,13.3973,13.3973,61881400,0.4758,13.1594,3.6822
2018-07-27,13.3925,14.0335,13.0581,13.9227,13.9227,66040700,0.5302,13.6576,3.9589
2018-07-28,14.0256,14.8694,13.7223,14.6017,14.6017,75159904,0.5761,14.3136,4.1075
2018-07-29,14.5981,14.6984,13.66,14.0212,14.0212,56547100,-0.5769,14.3096,-3.9519
2018-07-30,13.9477,13.9477,13.0665,13.2169,13.2169,35991600,-0.7308,13.5823,-5.2396
2018-07-31,13.2111,14.0643,13.0368,13.7754,13.7754,66537000,0.5643,13.4932,4.2714
2018-08-01,13.7696,14.062,13.2341,13.5739,13.5739,53833700,-0.1957,13.6718,-1.4212
2018-08-02,13.6308,14.184,13.4064,14.1769,14.1769,50481200,0.5461,13.9038,4.0064
2018-08-03,14.088,14.2059,13.6405,14.1346,14.1346,70449300,0.0466,14.1113,0.3308
2018-08-04,14.1127,14.4551,13.5691,13.8424,13.8424,60865200,-0.2703,13.9776,-1.9153
2018-08-05,13.8587,13.8978,13.2875,13.6232,13.6232,43000300,-0.2355,13.741,-1.6993
2018-08-06,13.6876,13.9757,13.4964,13.6991,13.6991,46799600,0.0115,13.6934,0.084
2018-08-07,13.6585,13.9088,13.1286,13.1461,13.1461,45119500,-0.5124,13.4023,-3.7515
2018-08-08,13.1289,13.1392,11.9807,12.1437,12.1437,44898500,-0.9852,12.6363,-7.5041
2018-08-09,12.1616,12.8719,12.1001,12.858,12.858,41389000,0.6964,12.5098,5.7262
2018-08-10,12.7681,12.8211,11.8073,12.1308,12.1308,37026400,-0.6373,12.4494,-4.9913
2018-08-11,12.1106,12.1588,11.3686,11.7366,11.7366,29253100,-0.374,11.9236,-3.0882
2018-08-12,11.6876,11.8647,11.5047,11.7418,11.7418,23290300,0.0542,11.7147,0.4637
2018-08-13,11.7712,11.9467,10.1841,10.2282,10.2282,34827100,-1.543,10.9997,-13.1083
2018-08-14,10.3045,10.3045,8.6627,9.4201,9.4201,39515200,-0.8844,9.8623,-8.5827
2018-08-15,9.408,10.5918,9.4032,9.463,9.463,42994900,0.055,9.4355,0.5846
2018-08-16,9.5305,9.985,9.3938,9.8023,9.8023,24709700,0.2718,9.6664,2.8519
2018-08-17,9.7823,10.8678,9.7249,10.8678,10.8678,37502400,1.0855,10.3251,11.0966
2018-08-18,10.7849,10.9651,9.5403,9.9076,9.9076,27803700,-0.8773,10.3463,-8.1345
2018-08-19,9.9214,10.3006,9.754,10.1562,10.1562,21218500,0.2348,10.0388,2.3666
2018-08-20,10.1417,10.2038,9.6436,9.7009,9.7009,17617700,-0.4408,9.9213,-4.3464
2018-08-21,9.6803,9.8482,9.4248,9.7146,9.7146,13228100,0.0343,9.6974,0.3543
2018-08-22,9.7359,10.1964,9.2573,9.5397,9.5397,23929500,-0.1962,9.6378,-2.0152
2018-08-23,9.499,9.715,9.4026,9.715,9.715,17327500,0.216,9.607,2.2739
2018-08-24,9.7635,10.2347,9.5623,10.2347,10.2347,22814900,0.4712,9.9991,4.8261
2018-08-25,10.1933,10.2488,9.9829,10.1358,10.1358,19561400,-0.0575,10.1646,-0.5641
2018-08-26,10.1142,10.2742,9.8087,10.1856,10.1856,22551200,0.0714,10.1499,0.7059
2018-08-27,10.219,11.3356,10.1278,11.2128,11.2128,44953500,0.9938,10.7159,9.725
2018-08-28,11.1607,11.4996,10.8415,11.4861,11.4861,43860800,0.3254,11.3234,2.9156
2018-08-29,11.471,11.471,10.9075,11.1735,11.1735,33530600,-0.2975,11.3222,-2.5935
2018-08-30,11.1692,11.1867,10.3848,10.7626,10.7626,23247800,-0.4066,10.9659,-3.6404
2018-08-31,10.7602,11.0225,10.5958,11.0138,11.0138,22638200,0.2536,10.887,2.3568
2018-09-01,11.0266,11.5423,11.0266,11.3794,11.3794,29776300,0.3528,11.203,3.1995
2018-09-02,11.4334,11.4638,11.1361,11.2994,11.2994,21757400,-0.134,11.3664,-1.172
2018-09-03,11.3459,11.4092,11.1103,11.2611,11.2611,18644300,-0.0848,11.3035,-0.7474
2018-09-04,11.3104,11.4232,11.2624,11.3592,11.3592,18878700,0.0488,11.3348,0.4315
2018-09-05,11.4098,11.5365,10.0866,10.0866,10.0866,29308300,-1.3232,10.7482,-11.597
2018-09-06,10.0535,10.3016,9.6219,10.2842,10.2842,23466000,0.2307,10.1688,2.2947
2018-09-07,10.2648,10.2697,9.8694,10.0373,10.0373,16640400,-0.2275,10.151,-2.2163
2018-09-08,10.0328,10.1943,9.4137,9.5201,9.5201,15053100,-0.5127,9.7764,-5.1102
2018-09-09,9.5487,9.7274,9.2724,9.5126,9.5126,13947300,-0.0361,9.5307,-0.3781
2018-09-10,9.576,9.7081,9.3731,9.5249,9.5249,12427900,-0.0511,9.5505,-0.5336
2018-09-11,9.522,9.6054,9.2273,9.374,9.374,18572100,-0.148,9.448,-1.5543
2018-09-12,9.3855,9.4802,9.0373,9.2144,9.2144,21323500,-0.1711,9.2999,-1.823
